City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,san cristobal,7.7669,-72.225,75.38,67,100,1.39,VE,1669663515
84,padang,-0.9492,100.3543,75.25,88,84,3.51,ID,1669663565
85,puerto montt,-41.4698,-72.9447,68.83,60,75,8.05,CL,1669663436
86,lebu,-37.6167,-73.65,63.23,72,8,14.45,CL,1669663288
87,dicabisagan,17.0818,122.4157,77.83,88,13,1.23,PH,1669663631
88,haines junction,60.7522,-137.5108,4.95,66,89,3.44,CA,1669663631
89,cayenne,4.9333,-52.3333,82.44,74,40,10.36,GF,1669663545
90,kutum,14.2,24.6667,70.36,24,4,2.24,SD,1669663565
91,cabo san lucas,22.8909,-109.9124,83.61,58,0,8.05,MX,1669663522
92,ugoofaaru,5.6667,73.0,80.74,72,82,1.43,MV,1669663631
93,henties bay,-22.116,14.2845,60.96,78,1,5.48,NA,1669663631
94,goderich,43.7501,-81.7165,36.91,69,100,6.91,CA,1669663632
95,berlevag,70.8578,29.0864,30.15,80,0,17.27,NO,1669663559
96,bredasdorp,-34.5322,20.0403,67.15,80,100,10.31,ZA,1669663510
97,caravelas,-17.7125,-39.2481,75.65,88,100,10.63,BR,1669663545
98,kapaa,22.0752,-159.319,76.98,95,0,5.75,US,1669663505
99,vestmannaeyjar,63.4427,-20.2734,36.88,58,33,6.04,IS,1669663550
100,tura,25.5198,90.2201,60.98,75,0,3.62,IN,1669663556
101,san patricio,28.017,-97.5169,72.32,64,0,4.56,US,1669663517
102,hegang,47.4,130.3667,11.53,95,100,1.72,CN,1669663632
103,nadapuram,11.7,75.6667,74.46,94,100,3.04,IN,1669663633
104,ilulissat,69.2167,-51.1,14.02,62,40,1.14,GL,1669663558
105,lady frere,-31.7031,27.2329,58.3,92,4,4.41,ZA,1669663633
106,bayonet point,28.3267,-82.6834,79.25,48,100,3.0,US,1669663493
107,shache,38.4167,77.2406,28.08,25,100,8.7,CN,1669663633
108,gesves,50.4015,5.0746,45.79,97,100,4.85,BE,1669663529
109,poya,-21.35,165.15,77.72,83,78,5.77,NC,1669663633
110,arraial do cabo,-22.9661,-42.0278,75.16,94,40,12.66,BR,1669663521
111,albany,42.6001,-73.9662,45.88,69,100,5.99,US,1669663209
112,damavand,35.7178,52.065,38.46,65,98,0.98,IR,1669663633
113,ende,-8.8432,121.6623,77.9,85,92,1.68,ID,1669663634
114,tasiilaq,65.6145,-37.6368,24.96,59,64,4.09,GL,1669663520
115,talnakh,69.4865,88.3972,-3.62,98,100,7.96,RU,1669663540
116,tucurui,-3.7661,-49.6725,89.62,47,100,5.41,BR,1669663504
117,ambon,-3.6954,128.1814,78.24,15,40,4.61,ID,1669663507
118,fortuna,40.5982,-124.1573,52.66,95,40,9.22,US,1669663552
119,los llanos de aridane,28.6585,-17.9182,69.12,51,75,9.22,ES,1669663528
120,airai,-8.9266,125.4092,60.62,91,99,1.59,TL,1669663521
121,ambilobe,-13.2,49.05,76.59,75,79,2.66,MG,1669663635
122,pevek,69.7008,170.3133,-0.42,92,60,5.46,RU,1669663543
123,nampula,-15.1165,39.2666,80.55,50,75,13.8,MZ,1669663635
124,bubaque,11.2833,-15.8333,81.32,59,27,11.14,GW,1669663635
125,zigong,29.3416,104.7769,59.67,71,100,6.11,CN,1669663635
126,petrovac,44.3769,21.4192,38.52,78,39,10.94,RS,1669663635
127,norman wells,65.282,-126.8329,-20.16,76,75,3.44,CA,1669663515
128,zhuhai,22.2769,113.5678,76.78,94,40,4.61,CN,1669663635
129,sisimiut,66.9395,-53.6735,20.88,75,100,7.94,GL,1669663635
130,iqaluit,63.7506,-68.5145,-2.47,78,75,39.12,CA,1669663524
131,labuhan,-6.8844,112.2051,77.9,87,100,8.93,ID,1669663636
132,bathsheba,13.2167,-59.5167,83.01,69,40,19.57,BB,1669663545
133,hermanus,-34.4187,19.2345,70.81,73,24,9.75,ZA,1669663524
134,kodoli,16.8833,74.2,73.83,76,92,3.36,IN,1669663636
135,nanortalik,60.1432,-45.2371,35.04,86,100,16.22,GL,1669663543
136,yellowknife,62.456,-114.3525,-8.45,70,75,11.5,CA,1669663513
137,maua,-23.6678,-46.4614,68.36,89,99,10.22,BR,1669663520
138,nyurba,63.2842,118.3319,-30.59,99,45,4.54,RU,1669663636
139,dandong,40.1292,124.3947,30.85,65,40,18.72,CN,1669663637
140,madisonville,37.3281,-87.4989,51.22,69,100,4.85,US,1669663637
141,arecibo,18.4724,-66.7157,84.92,76,37,14.97,PR,1669663637
142,thompson,55.7435,-97.8558,21.36,86,100,16.11,CA,1669663533
143,port elizabeth,-33.918,25.5701,70.11,81,20,20.71,ZA,1669663235
144,ada,43.4166,-116.1262,32.92,90,100,5.75,US,1669663637
145,douglas,41.3,-96.167,55.33,42,0,19.57,US,1669663637
